fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Ghalemdi Hydro Limited","GHL",60,170,171,164.7,167,"2023-09-07"
"Ghalemdi Hydro Limited","GHL",25,172,173,170,170.1,"2023-09-05"
"Ghalemdi Hydro Limited","GHL",50,172,174,168.6,173,"2023-09-04"
"Ghalemdi Hydro Limited","GHL",82,172,172,166.5,172,"2023-09-03"
"Ghalemdi Hydro Limited","GHL",38,174.9,177,173.6,173.6,"2023-08-30"
"Ghalemdi Hydro Limited","GHL",26,173.1,175.1,173,175.1,"2023-08-29"
"Ghalemdi Hydro Limited","GHL",58,175.9,177,172,174,"2023-08-28"
"Ghalemdi Hydro Limited","GHL",45,179,179,174,174,"2023-08-27"
"Ghalemdi Hydro Limited","GHL",88,187,187,177,179,"2023-08-24"
"Ghalemdi Hydro Limited","GHL",103,177,187,177,185.9,"2023-08-23"
"Ghalemdi Hydro Limited","GHL",75,175,175,171.3,174.9,"2023-08-22"
"Ghalemdi Hydro Limited","GHL",82,177,177,173,174,"2023-08-21"
"Ghalemdi Hydro Limited","GHL",61,184,184,176,178,"2023-08-20"
"Ghalemdi Hydro Limited","GHL",62,183,185.8,180.1,182,"2023-08-17"
"Ghalemdi Hydro Limited","GHL",70,185,185,181,181,"2023-08-16"
"Ghalemdi Hydro Limited","GHL",56,190,190,185,186,"2023-08-15"
"Ghalemdi Hydro Limited","GHL",74,194.9,195,190,190,"2023-08-14"
"Ghalemdi Hydro Limited","GHL",42,193,194.9,191.2,192.9,"2023-08-13"
"Ghalemdi Hydro Limited","GHL",94,194,197.4,190,191.1,"2023-08-10"
"Ghalemdi Hydro Limited","GHL",94,193,196.9,190,196.4,"2023-08-09"
"Ghalemdi Hydro Limited","GHL",76,194.2,199,193.1,195,"2023-08-08"
"Ghalemdi Hydro Limited","GHL",145,200.1,203,195,197,"2023-08-07"
"Ghalemdi Hydro Limited","GHL",82,211.4,211.4,200.1,202,"2023-08-06"
"Ghalemdi Hydro Limited","GHL",38,215.2,215.2,208.9,209,"2023-08-03"
"Ghalemdi Hydro Limited","GHL",68,210.8,211,207,211,"2023-08-02"
"Ghalemdi Hydro Limited","GHL",78,215,217,211,211,"2023-08-01"
"Ghalemdi Hydro Limited","GHL",64,216.2,220.1,213.4,217,"2023-07-31"
"Ghalemdi Hydro Limited","GHL",78,219,219,213.3,216,"2023-07-30"
"Ghalemdi Hydro Limited","GHL",60,218,220.3,215.5,216,"2023-07-27"
"Ghalemdi Hydro Limited","GHL",96,221,223,218,218,"2023-07-26"
"Ghalemdi Hydro Limited","GHL",57,224,224,221,221,"2023-07-25"
"Ghalemdi Hydro Limited","GHL",109,230,230,222,224,"2023-07-24"
"Ghalemdi Hydro Limited","GHL",105,224,226,217,226,"2023-07-23"
"Ghalemdi Hydro Limited","GHL",110,219,223,215.2,221,"2023-07-20"
"Ghalemdi Hydro Limited","GHL",125,218.1,220,215.5,216,"2023-07-19"
"Ghalemdi Hydro Limited","GHL",106,222,224.5,218.4,221,"2023-07-18"
"Ghalemdi Hydro Limited","GHL",101,218,223,217.6,222,"2023-07-17"
"Ghalemdi Hydro Limited","GHL",78,225,225,216.2,222,"2023-07-16"
"Ghalemdi Hydro Limited","GHL",134,229,234.8,220.8,220.8,"2023-07-13"
"Ghalemdi Hydro Limited","GHL",169,216,226,213.3,225.8,"2023-07-12"
"Ghalemdi Hydro Limited","GHL",80,216,220,214,214,"2023-07-11"
"Ghalemdi Hydro Limited","GHL",151,221,224,214,218,"2023-07-10"
"Ghalemdi Hydro Limited","GHL",130,223,224.4,218.6,219,"2023-07-09"
"Ghalemdi Hydro Limited","GHL",179,221.5,227,217.2,220,"2023-07-06"
"Ghalemdi Hydro Limited","GHL",130,227,231.4,223.4,224,"2023-07-05"
"Ghalemdi Hydro Limited","GHL",85,233,237.6,226,227,"2023-07-04"
"Ghalemdi Hydro Limited","GHL",214,238,238.5,226.4,229,"2023-07-03"
"Ghalemdi Hydro Limited","GHL",391,247,250,234,237,"2023-07-02"
"Ghalemdi Hydro Limited","GHL",747,234,250.9,226.5,243,"2023-06-28"
"Ghalemdi Hydro Limited","GHL",110,230.5,234.7,226,233,"2023-06-27"
"Ghalemdi Hydro Limited","GHL",190,230.5,238,224.5,226,"2023-06-26"
"Ghalemdi Hydro Limited","GHL",186,231,232,222,226,"2023-06-25"
"Ghalemdi Hydro Limited","GHL",157,225,229.5,220,229,"2023-06-22"
"Ghalemdi Hydro Limited","GHL",177,227.1,236,222,225.8,"2023-06-21"
"Ghalemdi Hydro Limited","GHL",158,240,240,227,227.1,"2023-06-20"
"Ghalemdi Hydro Limited","GHL",191,250.9,250.9,235,237,"2023-06-19"
"Ghalemdi Hydro Limited","GHL",151,239,246,239,246,"2023-06-18"
"Ghalemdi Hydro Limited","GHL",129,246,246,238,243.6,"2023-06-15"
"Ghalemdi Hydro Limited","GHL",221,244.1,251.9,240.1,244.7,"2023-06-14"
"Ghalemdi Hydro Limited","GHL",169,251,251,245,247,"2023-06-13"
"Ghalemdi Hydro Limited","GHL",177,243,247.8,240.3,247.5,"2023-06-12"
"Ghalemdi Hydro Limited","GHL",139,243,246.8,238,240,"2023-06-11"
"Ghalemdi Hydro Limited","GHL",95,246,246,235,239.7,"2023-06-08"
"Ghalemdi Hydro Limited","GHL",142,241,247,238,242.7,"2023-06-07"
"Ghalemdi Hydro Limited","GHL",143,231.1,244,231.1,241,"2023-06-06"
"Ghalemdi Hydro Limited","GHL",125,240,242,233.5,233.5,"2023-06-05"
"Ghalemdi Hydro Limited","GHL",100,236.4,245.8,235,238.5,"2023-06-04"
"Ghalemdi Hydro Limited","GHL",152,229.9,235,222,231.8,"2023-06-01"
"Ghalemdi Hydro Limited","GHL",214,227,239.3,224.3,227.9,"2023-05-31"
"Ghalemdi Hydro Limited","GHL",208,238,238.4,230,231.5,"2023-05-30"
"Ghalemdi Hydro Limited","GHL",342,239.9,251.9,236,237.5,"2023-05-28"
"Ghalemdi Hydro Limited","GHL",142,235,239,229,236.8,"2023-05-24"
"Ghalemdi Hydro Limited","GHL",191,229.5,237,227,234.5,"2023-05-23"
"Ghalemdi Hydro Limited","GHL",115,231.5,233,225,226.7,"2023-05-22"
"Ghalemdi Hydro Limited","GHL",170,229,236.9,226,229,"2023-05-21"
"Ghalemdi Hydro Limited","GHL",150,221,230.9,221,229,"2023-05-18"
"Ghalemdi Hydro Limited","GHL",117,220,225,217,220,"2023-05-17"
"Ghalemdi Hydro Limited","GHL",67,212.2,219.6,211.1,218,"2023-05-16"
"Ghalemdi Hydro Limited","GHL",61,214,218,211,216.5,"2023-05-15"
"Ghalemdi Hydro Limited","GHL",105,221.9,221.9,212,215,"2023-05-14"
"Ghalemdi Hydro Limited","GHL",75,214,220.4,214,219.8,"2023-05-11"
"Ghalemdi Hydro Limited","GHL",56,222,222.9,215,218,"2023-05-10"
"Ghalemdi Hydro Limited","GHL",91,222,228.9,216,222,"2023-05-09"
"Ghalemdi Hydro Limited","GHL",332,229.9,229.9,210,224,"2023-05-08"
"Ghalemdi Hydro Limited","GHL",133,240,244,224.9,229.9,"2023-05-07"
"Ghalemdi Hydro Limited","GHL",115,246.8,248,239.2,244.1,"2023-05-04"
"Ghalemdi Hydro Limited","GHL",67,248.5,253,242,246.9,"2023-05-03"
"Ghalemdi Hydro Limited","GHL",90,255,255,247,250,"2023-05-02"
"Ghalemdi Hydro Limited","GHL",126,261,261,252,254.4,"2023-04-30"
"Ghalemdi Hydro Limited","GHL",85,259,259,253.1,255.9,"2023-04-27"
"Ghalemdi Hydro Limited","GHL",71,263,263,255.1,256,"2023-04-26"
"Ghalemdi Hydro Limited","GHL",75,260,262,255,261,"2023-04-25"
"Ghalemdi Hydro Limited","GHL",112,255,263,250,256.9,"2023-04-24"
"Ghalemdi Hydro Limited","GHL",114,256,259.5,253,255,"2023-04-23"
"Ghalemdi Hydro Limited","GHL",61,266.5,266.5,258.1,259,"2023-04-20"
"Ghalemdi Hydro Limited","GHL",325,264.9,264.9,257,263,"2023-04-19"
"Ghalemdi Hydro Limited","GHL",141,258.7,268.9,258.7,262,"2023-04-18"
"Ghalemdi Hydro Limited","GHL",129,269,269.7,262,263.8,"2023-04-17"
"Ghalemdi Hydro Limited","GHL",122,272.3,272.3,266,269,"2023-04-16"
"Ghalemdi Hydro Limited","GHL",192,281.5,286,267,267,"2023-04-13"
"Ghalemdi Hydro Limited","GHL",250,268.3,277,266,276,"2023-04-12"
"Ghalemdi Hydro Limited","GHL",93,264,265.2,258.8,263.1,"2023-04-11"
"Ghalemdi Hydro Limited","GHL",139,263.3,268.5,259,260,"2023-04-10"
"Ghalemdi Hydro Limited","GHL",349,275,278,258.3,258.3,"2023-04-09"
"Ghalemdi Hydro Limited","GHL",151,279.2,279.2,265,270,"2023-04-06"
"Ghalemdi Hydro Limited","GHL",232,273.8,275,265,273.8,"2023-04-05"
"Ghalemdi Hydro Limited","GHL",268,264.1,270,259.1,268.5,"2023-04-04"
"Ghalemdi Hydro Limited","GHL",113,258,265.4,254,259,"2023-04-03"
"Ghalemdi Hydro Limited","GHL",116,270,271,258,261,"2023-04-02"
"Ghalemdi Hydro Limited","GHL",57,270,273.2,267,268,"2023-03-30"
"Ghalemdi Hydro Limited","GHL",49,265.2,270.9,265.2,270.8,"2023-03-29"
"Ghalemdi Hydro Limited","GHL",148,275.3,280.5,265,270,"2023-03-28"
"Ghalemdi Hydro Limited","GHL",142,269.1,272.2,258.7,270,"2023-03-27"
"Ghalemdi Hydro Limited","GHL",137,268,268,259,263.9,"2023-03-26"
"Ghalemdi Hydro Limited","GHL",94,266.7,271.9,266,267.3,"2023-03-23"
"Ghalemdi Hydro Limited","GHL",162,275,278.9,271,271.1,"2023-03-22"
"Ghalemdi Hydro Limited","GHL",190,274,276.9,267,276.5,"2023-03-20"
"Ghalemdi Hydro Limited","GHL",116,270.4,274,267.1,271,"2023-03-19"
"Ghalemdi Hydro Limited","GHL",114,266.3,275,266,270.4,"2023-03-16"
"Ghalemdi Hydro Limited","GHL",76,272,275,268,270,"2023-03-15"
"Ghalemdi Hydro Limited","GHL",128,270,275,267,273.1,"2023-03-14"
"Ghalemdi Hydro Limited","GHL",105,277.1,277.1,260,269,"2023-03-13"
"Ghalemdi Hydro Limited","GHL",234,275,278.4,270,271.7,"2023-03-12"
"Ghalemdi Hydro Limited","GHL",239,264,274,263,274,"2023-03-09"
"Ghalemdi Hydro Limited","GHL",110,257,262,253,260,"2023-03-07"
"Ghalemdi Hydro Limited","GHL",138,262.8,264.1,252,252,"2023-03-05"
"Ghalemdi Hydro Limited","GHL",185,262,267,258.3,259,"2023-03-02"
"Ghalemdi Hydro Limited","GHL",91,270,270,265.1,267,"2023-03-01"
"Ghalemdi Hydro Limited","GHL",126,280.5,280.5,265.6,269,"2023-02-28"
"Ghalemdi Hydro Limited","GHL",215,279.4,279.4,260.1,275,"2023-02-27"
"Ghalemdi Hydro Limited","GHL",258,262,274.8,253.9,274,"2023-02-26"
"Ghalemdi Hydro Limited","GHL",292,282,282,265.1,267.3,"2023-02-23"
"Ghalemdi Hydro Limited","GHL",188,265,279.3,265,279,"2023-02-22"
"Ghalemdi Hydro Limited","GHL",148,269.3,269.3,260.6,264,"2023-02-20"
"Ghalemdi Hydro Limited","GHL",263,280.5,280.5,263.1,265,"2023-02-16"
"Ghalemdi Hydro Limited","GHL",157,276,284.5,273.3,275,"2023-02-15"
"Ghalemdi Hydro Limited","GHL",252,288.5,288.5,274.4,279,"2023-02-14"
"Ghalemdi Hydro Limited","GHL",398,291,291,278.9,283,"2023-02-12"
"Ghalemdi Hydro Limited","GHL",294,293,296,287.2,296,"2023-02-09"
"Ghalemdi Hydro Limited","GHL",328,300,302,289,293,"2023-02-08"
"Ghalemdi Hydro Limited","GHL",387,276,297.8,276,295,"2023-02-07"
"Ghalemdi Hydro Limited","GHL",138,270,277.4,270,274.9,"2023-02-06"
"Ghalemdi Hydro Limited","GHL",235,278,283.9,271,273,"2023-02-05"
"Ghalemdi Hydro Limited","GHL",271,284.6,284.6,271.5,274.5,"2023-02-02"
"Ghalemdi Hydro Limited","GHL",198,282.5,286,271.6,280,"2023-02-01"
"Ghalemdi Hydro Limited","GHL",370,278,290.7,274,277,"2023-01-31"
"Ghalemdi Hydro Limited","GHL",453,299.9,299.9,280.8,283,"2023-01-30"
"Ghalemdi Hydro Limited","GHL",435,292.1,305,287,297,"2023-01-29"
"Ghalemdi Hydro Limited","GHL",550,295.9,309,292.1,298,"2023-01-26"
"Ghalemdi Hydro Limited","GHL",657,278.7,300,275,291,"2023-01-25"
"Ghalemdi Hydro Limited","GHL",252,276,277,265.9,276.5,"2023-01-24"
"Ghalemdi Hydro Limited","GHL",391,288,289,271,275,"2023-01-23"
"Ghalemdi Hydro Limited","GHL",309,280,289,277.9,286,"2023-01-19"
"Ghalemdi Hydro Limited","GHL",602,290,297,278.4,283.5,"2023-01-18"
"Ghalemdi Hydro Limited","GHL",516,264,284.9,256,284.8,"2023-01-17"
"Ghalemdi Hydro Limited","GHL",633,278.6,295,254,259,"2023-01-12"
"Ghalemdi Hydro Limited","GHL",745,284.3,300,266,273.2,"2023-01-10"
"Ghalemdi Hydro Limited","GHL",640,262,281.8,260,281,"2023-01-09"
"Ghalemdi Hydro Limited","GHL",439,257,270.3,250.2,257,"2023-01-08"
"Ghalemdi Hydro Limited","GHL",436,251,261,249,255.1,"2023-01-05"
"Ghalemdi Hydro Limited","GHL",432,233,250,233,248,"2023-01-04"
"Ghalemdi Hydro Limited","GHL",269,238,243.3,230,235,"2023-01-03"
"Ghalemdi Hydro Limited","GHL",217,238,240.7,233,238,"2023-01-02"
"Ghalemdi Hydro Limited","GHL",325,242.6,246,230,238,"2023-01-01"
"Ghalemdi Hydro Limited","GHL",310,234,242.4,231.5,239,"2022-12-29"
"Ghalemdi Hydro Limited","GHL",370,234,252,226,238,"2022-12-28"
