fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"CENTRAL FINANCE COMPANY LTD.","CFCL",69,338.6,345,330,333,"2022-09-05"
"CENTRAL FINANCE COMPANY LTD.","CFCL",74,334,339.2,331.3,332,"2022-09-04"
"CENTRAL FINANCE COMPANY LTD.","CFCL",71,325,338.1,325,331,"2022-09-02"
"CENTRAL FINANCE COMPANY LTD.","CFCL",101,328,338,323,331,"2022-09-01"
"CENTRAL FINANCE COMPANY LTD.","CFCL",99,330,333.6,325,325,"2022-08-31"
"CENTRAL FINANCE COMPANY LTD.","CFCL",121,332,340.9,332,334,"2022-08-30"
"CENTRAL FINANCE COMPANY LTD.","CFCL",160,326,344,325.2,334,"2022-08-29"
"CENTRAL FINANCE COMPANY LTD.","CFCL",252,338.2,344.9,328,330,"2022-08-28"
"CENTRAL FINANCE COMPANY LTD.","CFCL",135,345,350.8,336,345,"2022-08-26"
"CENTRAL FINANCE COMPANY LTD.","CFCL",119,361.9,362,342,347,"2022-08-25"
"CENTRAL FINANCE COMPANY LTD.","CFCL",66,348.1,368,348.1,356,"2022-08-24"
"CENTRAL FINANCE COMPANY LTD.","CFCL",69,348,359.5,348,353.1,"2022-08-23"
"CENTRAL FINANCE COMPANY LTD.","CFCL",118,355,362,351,355,"2022-08-22"
"CENTRAL FINANCE COMPANY LTD.","CFCL",193,363.1,379.4,356.2,360,"2022-08-21"
"CENTRAL FINANCE COMPANY LTD.","CFCL",217,343,369,343,368,"2022-08-18"
"CENTRAL FINANCE COMPANY LTD.","CFCL",144,347,361,340.1,349.1,"2022-08-17"
"CENTRAL FINANCE COMPANY LTD.","CFCL",471,357.5,372.9,345,347,"2022-08-16"
"CENTRAL FINANCE COMPANY LTD.","CFCL",299,313.6,350.5,313.6,350.5,"2022-08-15"
"CENTRAL FINANCE COMPANY LTD.","CFCL",153,329,339,316.6,320,"2022-08-14"
"CENTRAL FINANCE COMPANY LTD.","CFCL",123,335.5,348,329,334.9,"2022-08-11"
"CENTRAL FINANCE COMPANY LTD.","CFCL",187,350,352,338,340,"2022-08-10"
"CENTRAL FINANCE COMPANY LTD.","CFCL",267,371,373.3,345,346,"2022-08-09"
"CENTRAL FINANCE COMPANY LTD.","CFCL",211,383,383.4,360,366,"2022-08-08"
"CENTRAL FINANCE COMPANY LTD.","CFCL",166,375,385,364,376,"2022-08-07"
