fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Ngadi Group Power Ltd.","NGPL",692,431.4,440,422.3,437.7,"2024-09-25"
"Ngadi Group Power Ltd.","NGPL",405,430.1,437.9,422,423,"2024-09-24"
"Ngadi Group Power Ltd.","NGPL",463,446,451.1,426,433,"2024-09-23"
"Ngadi Group Power Ltd.","NGPL",519,454.9,470,445.1,450.1,"2024-09-22"
"Ngadi Group Power Ltd.","NGPL",711,445,463.9,435.3,446,"2024-09-18"
"Ngadi Group Power Ltd.","NGPL",697,458,458,434,445,"2024-09-16"
"Ngadi Group Power Ltd.","NGPL",1346,445,480.4,442,450,"2024-09-15"
"Ngadi Group Power Ltd.","NGPL",515,425.1,439.9,425.1,439,"2024-09-12"
"Ngadi Group Power Ltd.","NGPL",484,432.5,435,422,422.1,"2024-09-11"
"Ngadi Group Power Ltd.","NGPL",703,437,444,421,424.1,"2024-09-10"
"Ngadi Group Power Ltd.","NGPL",814,444,447.5,425,429,"2024-09-09"
"Ngadi Group Power Ltd.","NGPL",604,461,465,443,444,"2024-09-08"
"Ngadi Group Power Ltd.","NGPL",782,459,465.1,445,452.1,"2024-09-05"
"Ngadi Group Power Ltd.","NGPL",801,484,484,456,456,"2024-09-04"
"Ngadi Group Power Ltd.","NGPL",838,490,495,477,480,"2024-09-03"
"Ngadi Group Power Ltd.","NGPL",1251,469.2,498.7,458,484.6,"2024-09-02"
"Ngadi Group Power Ltd.","NGPL",728,464,480,458,460,"2024-09-01"
"Ngadi Group Power Ltd.","NGPL",1149,488.8,488.8,458.5,467,"2024-08-29"
"Ngadi Group Power Ltd.","NGPL",1038,480,494,468,481,"2024-08-28"
"Ngadi Group Power Ltd.","NGPL",1543,508.9,508.9,473,475,"2024-08-27"
"Ngadi Group Power Ltd.","NGPL",1541,520,524.9,499,499,"2024-08-25"
"Ngadi Group Power Ltd.","NGPL",1748,510,530,506,520,"2024-08-22"
"Ngadi Group Power Ltd.","NGPL",1731,509.8,521.2,490,509,"2024-08-21"
"Ngadi Group Power Ltd.","NGPL",2298,510,515,490,502.1,"2024-08-18"
"Ngadi Group Power Ltd.","NGPL",2050,490,529,482,500.2,"2024-08-15"
"Ngadi Group Power Ltd.","NGPL",1227,480,483.3,465,481,"2024-08-14"
"Ngadi Group Power Ltd.","NGPL",1575,494,494,465,472,"2024-08-13"
"Ngadi Group Power Ltd.","NGPL",1689,482.7,497.6,476.1,488,"2024-08-12"
"Ngadi Group Power Ltd.","NGPL",1961,470,485.8,465,473.3,"2024-08-11"
"Ngadi Group Power Ltd.","NGPL",2539,453,484,453,469.9,"2024-08-08"
"Ngadi Group Power Ltd.","NGPL",2221,422,454,412,453,"2024-08-07"
"Ngadi Group Power Ltd.","NGPL",1701,449.2,449.2,415.1,417,"2024-08-06"
"Ngadi Group Power Ltd.","NGPL",1869,423,448.7,411.6,441,"2024-08-05"
"Ngadi Group Power Ltd.","NGPL",2325,435,436.5,418,424,"2024-08-01"
"Ngadi Group Power Ltd.","NGPL",1870,443,455,429,435,"2024-07-31"
"Ngadi Group Power Ltd.","NGPL",1909,420,451,417,442,"2024-07-30"
"Ngadi Group Power Ltd.","NGPL",2809,397,432,395.3,420,"2024-07-29"
"Ngadi Group Power Ltd.","NGPL",1114,397.8,400,378.3,397,"2024-07-28"
"Ngadi Group Power Ltd.","NGPL",875,390.7,392,383,390.1,"2024-07-25"
"Ngadi Group Power Ltd.","NGPL",1499,399.9,406,382.6,390.7,"2024-07-24"
"Ngadi Group Power Ltd.","NGPL",1679,384,406,376,398.1,"2024-07-23"
"Ngadi Group Power Ltd.","NGPL",1270,376,382.5,366.1,379,"2024-07-22"
"Ngadi Group Power Ltd.","NGPL",1401,380.4,384,365.1,375,"2024-07-21"
"Ngadi Group Power Ltd.","NGPL",2141,367,387,360.3,373,"2024-07-18"
"Ngadi Group Power Ltd.","NGPL",1817,377,380,358,366,"2024-07-17"
"Ngadi Group Power Ltd.","NGPL",2144,347,370,347,369.9,"2024-07-16"
"Ngadi Group Power Ltd.","NGPL",1582,334.5,348,326,341,"2024-07-15"
"Ngadi Group Power Ltd.","NGPL",655,330,339,325,328,"2024-07-14"
"Ngadi Group Power Ltd.","NGPL",618,335.5,335.5,323,324,"2024-07-11"
"Ngadi Group Power Ltd.","NGPL",1024,333,336.5,327,329,"2024-07-10"
"Ngadi Group Power Ltd.","NGPL",1228,318,330,312.1,326.5,"2024-07-09"
"Ngadi Group Power Ltd.","NGPL",566,315,317.3,311.2,315,"2024-07-08"
"Ngadi Group Power Ltd.","NGPL",487,315,316,308.7,311.1,"2024-07-07"
"Ngadi Group Power Ltd.","NGPL",353,313.4,315,308,310,"2024-07-04"
"Ngadi Group Power Ltd.","NGPL",272,318,318,305,308,"2024-07-03"
"Ngadi Group Power Ltd.","NGPL",441,311.1,323,308,311.8,"2024-07-02"
"Ngadi Group Power Ltd.","NGPL",184,303,307.1,303,305,"2024-07-01"
"Ngadi Group Power Ltd.","NGPL",209,307,308,301,303,"2024-06-30"
"Ngadi Group Power Ltd.","NGPL",276,306,310.1,302.1,305.1,"2024-06-27"
"Ngadi Group Power Ltd.","NGPL",312,308,314.9,305.1,308,"2024-06-26"
"Ngadi Group Power Ltd.","NGPL",253,313.5,313.8,306.3,307,"2024-06-25"
"Ngadi Group Power Ltd.","NGPL",344,312.1,319,307,309.9,"2024-06-24"
"Ngadi Group Power Ltd.","NGPL",457,314,321,311.1,312,"2024-06-23"
"Ngadi Group Power Ltd.","NGPL",305,315,316.1,308.7,310,"2024-06-20"
"Ngadi Group Power Ltd.","NGPL",255,319.9,320,314,315,"2024-06-19"
