fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"NEPAL FINANCE & SAVING CO. LTD","NFS",58,243,249,239,239,"2022-09-28"
"NEPAL FINANCE & SAVING CO. LTD","NFS",83,242,248,238,242.5,"2022-09-27"
"NEPAL FINANCE & SAVING CO. LTD","NFS",100,244.1,248,238,238,"2022-09-25"
"NEPAL FINANCE & SAVING CO. LTD","NFS",73,253,258,247.3,248,"2022-09-22"
"NEPAL FINANCE & SAVING CO. LTD","NFS",108,255,263,251.5,253.2,"2022-09-21"
"NEPAL FINANCE & SAVING CO. LTD","NFS",136,260,263,250,250,"2022-09-20"
"NEPAL FINANCE & SAVING CO. LTD","NFS",104,268,270,263.1,263.5,"2022-09-18"
"NEPAL FINANCE & SAVING CO. LTD","NFS",105,273.5,275,262.8,273,"2022-09-16"
"NEPAL FINANCE & SAVING CO. LTD","NFS",234,294,296,275,279,"2022-09-15"
"NEPAL FINANCE & SAVING CO. LTD","NFS",215,276,291,275,291,"2022-09-14"
"NEPAL FINANCE & SAVING CO. LTD","NFS",99,261,277.8,261,272.1,"2022-09-13"
"NEPAL FINANCE & SAVING CO. LTD","NFS",65,276.2,276.2,265.5,266,"2022-09-12"
"NEPAL FINANCE & SAVING CO. LTD","NFS",82,274,280,270,270.9,"2022-09-11"
"NEPAL FINANCE & SAVING CO. LTD","NFS",113,272,280,266,274,"2022-09-08"
"NEPAL FINANCE & SAVING CO. LTD","NFS",66,270,273,264.6,270,"2022-09-07"
"NEPAL FINANCE & SAVING CO. LTD","NFS",83,282.9,283,272,273.9,"2022-09-06"
"NEPAL FINANCE & SAVING CO. LTD","NFS",80,280.1,284,276,280,"2022-09-05"
"NEPAL FINANCE & SAVING CO. LTD","NFS",105,279.4,284,275,279,"2022-09-04"
"NEPAL FINANCE & SAVING CO. LTD","NFS",61,270,283.5,270,274,"2022-09-02"
"NEPAL FINANCE & SAVING CO. LTD","NFS",173,275,285,267,274,"2022-09-01"
"NEPAL FINANCE & SAVING CO. LTD","NFS",131,283,287,272,275,"2022-08-31"
"NEPAL FINANCE & SAVING CO. LTD","NFS",119,280,293,280,283,"2022-08-30"
"NEPAL FINANCE & SAVING CO. LTD","NFS",156,280,285.5,275,282.2,"2022-08-29"
