fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",116,284.6,292,281.2,288,"2023-08-17"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",82,280.6,283.5,279.1,281,"2023-08-16"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",106,284.3,294,284,284.6,"2023-08-15"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",124,286.5,297,286.5,289,"2023-08-14"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",192,285,300,280.1,291.2,"2023-08-13"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",188,287,295.9,279.3,290.1,"2023-08-10"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",109,266.5,290.7,266.3,290.7,"2023-08-09"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",114,270.3,280,270.3,271.2,"2023-08-08"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",129,278,282,274.5,275.2,"2023-08-07"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",123,282.5,284.9,278,281.4,"2023-08-06"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",121,285.1,299.9,285.1,287.5,"2023-08-03"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",115,287,289.7,285.2,289.7,"2023-08-02"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",132,294,300,290,290,"2023-08-01"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",115,292.1,298.6,290,295,"2023-07-31"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",141,296.2,300,290.1,292.9,"2023-07-30"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",135,303,307.9,299.2,300,"2023-07-27"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",128,301,307.7,301,303,"2023-07-26"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",152,306,312,304,304,"2023-07-25"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",212,315,315,307,310,"2023-07-24"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",275,304.1,315,304.1,313,"2023-07-23"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",175,297.5,306.2,297.5,304.2,"2023-07-20"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",135,304,304.9,298,298,"2023-07-19"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",101,308,308,302.7,302.7,"2023-07-18"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",130,295,308,295,303,"2023-07-17"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",123,302,303,300,300,"2023-07-16"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",223,310,317.7,303,303,"2023-07-13"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",216,303,324,300.2,311.5,"2023-07-12"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",172,302.5,306,297.1,297.1,"2023-07-11"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",222,310,315,302.5,307,"2023-07-10"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",169,310,320,310,311,"2023-07-09"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",165,309.1,312,305,310.1,"2023-07-06"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",178,311.1,317,308,309,"2023-07-05"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",193,310,316.5,310,312,"2023-07-04"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",214,309.5,321.3,309.5,311,"2023-07-03"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",336,323,328,314.8,315,"2023-07-02"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",240,340,340,327.5,327.5,"2023-06-28"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",294,341.9,345,331,340,"2023-06-27"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",259,339,348.8,333.2,335.2,"2023-06-26"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",385,333.2,350,330.3,342,"2023-06-25"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",305,334.3,344,324.7,340,"2023-06-22"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",341,338,355,337.2,337.2,"2023-06-21"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",376,360,360,335,337.5,"2023-06-20"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",335,365,371,353.3,356,"2023-06-19"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",634,337,368,332,363,"2023-06-18"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",310,333,341.5,330,337,"2023-06-15"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",492,335,347.8,333.3,335,"2023-06-14"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",510,318,341.8,316.1,335,"2023-06-13"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",201,328,328,318,322,"2023-06-12"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",287,322,327.9,317,325,"2023-06-11"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",214,314.4,324,314.4,322.2,"2023-06-08"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",423,312,324,312,318,"2023-06-07"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",387,299,315,292,313.9,"2023-06-06"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",165,293.9,305.6,290.1,293.2,"2023-06-05"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",113,288,296,287,293.9,"2023-06-04"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",121,280,286,277.1,283,"2023-06-01"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",135,286,295,278,278,"2023-05-31"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",127,294,299.8,287.2,291.2,"2023-05-30"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",211,299,304,288.2,300,"2023-05-28"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",114,288,297,288,294,"2023-05-24"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",107,286,295,286,293.6,"2023-05-23"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",76,292.7,294,281,289,"2023-05-22"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",165,286,293,286,287,"2023-05-21"
