fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Laxmi Sunrise Bank Limited","LSL",75,182,188,180.6,184.5,"2023-10-18"
"Laxmi Sunrise Bank Limited","LSL",89,180,182,179,181,"2023-10-17"
"Laxmi Sunrise Bank Limited","LSL",113,180.1,181,179,179.8,"2023-10-16"
"Laxmi Sunrise Bank Limited","LSL",136,181,183.5,180.5,181.7,"2023-10-12"
"Laxmi Sunrise Bank Limited","LSL",125,181,182.8,180.4,182,"2023-10-11"
"Laxmi Sunrise Bank Limited","LSL",113,180.1,182,180,180,"2023-10-10"
"Laxmi Sunrise Bank Limited","LSL",161,180.2,188.3,180.2,182,"2023-10-09"
"Laxmi Sunrise Bank Limited","LSL",220,184,186,181.1,181.1,"2023-10-08"
"Laxmi Sunrise Bank Limited","LSL",176,186.1,187.4,184.8,185,"2023-10-05"
"Laxmi Sunrise Bank Limited","LSL",123,185,187.9,185,186.9,"2023-10-04"
"Laxmi Sunrise Bank Limited","LSL",92,184,187,184,186.1,"2023-10-03"
"Laxmi Sunrise Bank Limited","LSL",191,185,189,183.6,187.1,"2023-10-02"
"Laxmi Sunrise Bank Limited","LSL",186,190,190,183.5,185.8,"2023-10-01"
"Laxmi Sunrise Bank Limited","LSL",184,191,192,186,189.9,"2023-09-27"
"Laxmi Sunrise Bank Limited","LSL",208,190,191.7,186.5,188.5,"2023-09-26"
"Laxmi Sunrise Bank Limited","LSL",177,195.2,195.2,188,189.2,"2023-09-25"
"Laxmi Sunrise Bank Limited","LSL",269,193.7,194.8,188.2,193,"2023-09-24"
"Laxmi Sunrise Bank Limited","LSL",306,189,193,188,190,"2023-09-21"
"Laxmi Sunrise Bank Limited","LSL",132,186,190,184.1,187.8,"2023-09-19"
"Laxmi Sunrise Bank Limited","LSL",101,184.4,187,183,185.8,"2023-09-18"
"Laxmi Sunrise Bank Limited","LSL",254,196.8,196.8,185,188,"2023-09-17"
"Laxmi Sunrise Bank Limited","LSL",244,191,194.4,190.2,193,"2023-09-13"
"Laxmi Sunrise Bank Limited","LSL",185,188,194.8,185.7,194.8,"2023-09-12"
"Laxmi Sunrise Bank Limited","LSL",272,186.5,190,173,188.3,"2023-09-11"
"Laxmi Sunrise Bank Limited","LSL",217,182.2,186.9,182.2,185.6,"2023-09-10"
"Laxmi Sunrise Bank Limited","LSL",158,184,187,182.3,184,"2023-09-07"
"Laxmi Sunrise Bank Limited","LSL",240,183,187.3,181,187.3,"2023-09-05"
"Laxmi Sunrise Bank Limited","LSL",184,184.9,185.1,182.1,184.3,"2023-09-04"
"Laxmi Sunrise Bank Limited","LSL",296,188.5,188.5,182.2,185,"2023-09-03"
"Laxmi Sunrise Bank Limited","LSL",497,179.6,186.6,179.6,185,"2023-08-30"
"Laxmi Sunrise Bank Limited","LSL",319,183.2,183.2,179.1,179.8,"2023-08-29"
"Laxmi Sunrise Bank Limited","LSL",1103,176.4,185.9,176,181.2,"2023-08-28"
"Laxmi Sunrise Bank Limited","LSL",110,175.3,177.9,170,173,"2023-07-13"
"Laxmi Sunrise Bank Limited","LSL",101,168.1,172,168,172,"2023-07-12"
"Laxmi Sunrise Bank Limited","LSL",153,170,172,167.5,169.7,"2023-07-11"
"Laxmi Sunrise Bank Limited","LSL",124,173,173,169.6,170,"2023-07-10"
"Laxmi Sunrise Bank Limited","LSL",103,172,173.9,170,170.1,"2023-07-09"
"Laxmi Sunrise Bank Limited","LSL",128,170,172,170,170.8,"2023-07-06"
"Laxmi Sunrise Bank Limited","LSL",98,172.4,173,170.2,171,"2023-07-05"
"Laxmi Sunrise Bank Limited","LSL",56,175.9,176,172,172.8,"2023-07-04"
"Laxmi Sunrise Bank Limited","LSL",100,174,176,172.1,172.8,"2023-07-03"
"Laxmi Sunrise Bank Limited","LSL",126,175,179.6,173,175.4,"2023-07-02"
"Laxmi Sunrise Bank Limited","LSL",220,185.5,186.4,172.5,177,"2023-06-28"
"Laxmi Sunrise Bank Limited","LSL",241,176,182,170.6,181.9,"2023-06-27"
